R.D.Spend;Administration;Marketing.Spend;State;Profit
165349,2;136897,8;471784,1;New York;369646,1127
162597,7;151377,59;443898,53;California;367841,9428
153441,51;101145,55;407934,54;Florida;365002,5152
144372,41;118671,85;383199,62;New York;334531,3795
142107,34;91391,77;366168,42;Florida;276184,314
131876,9;99814,71;362861,36;New York;246462,1176
134615,46;147198,87;127716,82;California;243742,3813
130298,13;145530,06;323876,68;Florida;242588,7241
120542,52;148718,95;311613,29;New York;231684,2293
123334,88;108679,17;304981,62;California;224280,4562
101913,08;110594,11;229160,95;Florida;213516,2427
100671,96;91790,61;249744,55;California;208107,7449
93863,75;127320,38;249839,44;Florida;200464,5947
91992,39;135495,07;252664,93;California;180384,6426
119943,24;156547,42;256512,92;Florida;175834,6279
114523,61;122616,84;261776,23;New York;168784,3728
78013,11;121597,55;264346,06;California;161272,0427
94657,16;145077,58;282574,31;New York;157177,2967
91749,16;114175,79;294919,57;Florida;154422,6244
76253,86;113867,3;298664,47;California;140360,9578
78389,47;153773,43;299737,29;New York;123905,8842
73994,56;122782,75;303319,26;Florida;121776,1908
67532,53;105751,03;304768,73;Florida;118230,8058
77044,01;99281,34;140574,81;New York;117835,4539
64664,71;139553,16;137962,62;California;115356,9225
75328,87;144135,98;134050,07;Florida;111795,8148
72107,6;127864,55;353183,81;New York;110267,4517
66051,52;182645,56;118148,2;Florida;106672,5002
65605,48;153032,06;107138,38;New York;102019,373
61994,48;115641,28;91131,24;Florida;99875,21895
61136,38;152701,92;88218,23;New York;95030,4447
63408,86;129219,61;46085,25;California;94921,84007
55493,95;103057,49;214634,81;Florida;93661,59356
46426,07;157693,92;210797,67;California;93533,65684
46014,02;85047,44;205517,64;New York;93082,9585
28663,76;127056,21;201126,82;Florida;82279,75733
44069,95;51283,14;197029,42;California;80908,47787
20229,59;65947,93;185265,1;New York;65981,60188
38558,51;82982,09;174999,3;California;65619,33153
28754,33;118546,05;172795,67;California;61214,83517
27892,92;84710,77;164470,71;Florida;60526,57949
23640,93;96189,63;148001,11;California;51120,34072
15505,73;127382,3;35534,17;New York;48663,15291
22177,74;154806,14;28334,72;California;42510,83032
1000,23;124153,04;1903,93;New York;42153,95864
1315,46;115816,21;297114,46;Florida;24493,34336
